Material Name,Qty,Supplier,Cost,Category,Notes/Function
Absolute Ambergris,14g,Fraterworks,$17.00 ,Ambergris & Amber,Flagship ambergris recreation (1g used for dilution)
Akigala Extreme,4g,Fraterworks,$10.92 ,Modern Aromachems,Intense woody-amber (1g used for dilution)
Aldehyde C-10 (decanal),14.9ml,TPA,$12.75 ,Aldehydes & Accents,"Aldehydic sparkle, citrus orange (0.1ml used for dilution)"
Aldehyde C-11 Undecylenic,14.9g,Fraterworks,$8.56 ,Aldehydes & Accents,Waxy aldehydic facet (0.1g used for dilution)
Aldehyde C-12 MNA,14.9ml,TPA,$11.75 ,Aldehydes & Accents,"Aldehydic sparkle, classic lift (0.1ml used for dilution)"
Amazonia,4g,Fraterworks,$11.21 ,Signature Captives,Tropical rainforest blend (1g used for dilution)
Amber Core,24g,Fraterworks,$10.62 ,Ambergris & Amber,Soft amber blender (1g used for dilution)
Amber Crave,4g,Fraterworks,$10.62 ,Ambergris & Amber,Amber specialty blend (1g used for dilution)
AmberXtreme,4.99g,Fraterworks,$15.34 ,Ambergris & Amber,"100% pure, super radiant amber (0.01g used for dilution)"
Ambranum,4g,Fraterworks,$14.16 ,Ambergris & Amber,Complex amber compound (1g used for dilution)
Ambrexol,4g,Fraterworks,$10.92 ,Ambergris & Amber,Modern amber molecule (1g used for dilution)
Ambrofixª (Ambroxan),39g,Fraterworks,$65.00 ,Modern Aromachems,Premium ambroxan (1g used for dilution)
"Amyris ""Signature"" Oil, Haiti",14g,Fraterworks,$16.52 ,Wood Materials,Sandalwood alternative (1g used for dilution)
Animalia CMP,1.9g,Fraterworks,$9.44 ,Tobacco & Animalic,Animal musk complex (0.1g used for dilution)
Animusk Extra,0.9g,Fraterworks,$5.61 ,Tobacco & Animalic,Enhanced animal musk (0.1g used for dilution)
Benzoin,28ml,Eden Botanicals,$17.75 ,Resins & Balsams,"Balsamic richness, vanilla-like (2ml used for dilution)"
Bergamot,14ml,Eden Botanicals,$15.00 ,Citrus Oils,"Classic elegance, Earl Grey note (1ml used for dilution)"
Black Datura,4g,Fraterworks,$10.62 ,Floral Materials,Dark floral specialty (1g used for dilution)
Black Pepper Oil,3g,Fraterworks,$9.44 ,Spices,Spicy heat facet (1g used for dilution)
Black Tea Supreme,14g,Fraterworks,$16.23 ,Specialty Materials,Rich tea accord (1g used for dilution)
Bouleau Pyrogene 1840,4g,Fraterworks,$10.92 ,Specialty Materials,Birch tar smoky note (1g used for dilution)
Cacao Absolute EO,1oz,Premium Coll.,TBD,Wood Materials,"Chocolate depth, gourmand (1g used for dilution)"
Calone¨ 1951,24.9g,Fraterworks,$31.86 ,Modern Aromachems,Marine aquatic molecule (0.1g used for dilution)
Cardamom CO2,3g,Fraterworks,$23.60 ,Spices,100% Pure CO2 extraction (1g used for dilution)
Cashmeran¨,24g,Fraterworks,$18.88 ,Modern Aromachems,Woody musky amber (1g used for dilution)
"Cedar, Himalayan",Various,Farfalla,TBD,Wood Materials,Cedrus deodara (1g used for dilution)
Chamomile - German CO2,Various,Sun Pure Bot.,TBD,Specialty Materials,CO2 extract (1ml used for dilution)
Cinnamon Bark Ceylon Supreme,3g,Fraterworks,$11.51 ,Spices,Ceylon Supreme grade (1g used for dilution)
Cinnamon Bark CO2,15ml,Sun Pure Bot.,$15.00 ,Spices,CO2 extraction (1ml used for dilution)
Cis-3 Hexenyl Tiglate,14ml,TPA,$23.75 ,Modern Aromachems,Green floral radiance (1ml used for dilution)
Clary Sage Absolute,3g,Fraterworks,$10.33 ,Green & Herbal,Herbaceous clary facet (1g used for dilution)
Clearwood¨,24g,Fraterworks,$12.69 ,Modern Aromachems,Transparent woody note (1g used for dilution)
"Clove Bud ""Signature"" Oil",3g,Fraterworks,$8.26 ,Spices,Warm spicy clove (1g used for dilution)
Coffee Roasted EO,0.5oz,Premium Coll.,TBD,Gourmand Materials,Coffee bean intensity (1g used for dilution)
Cognac - Key Accord,3ml,TPA,$6.50 ,Specialty Materials,Cognac warmth accord (1ml used for dilution)
Costus Oliffac,3.9g,Fraterworks,$13.28 ,Specialty Materials,Costus root facet (0.1g used for dilution)
Coumarin,24g,Fraterworks,$12.98 ,Gourmand Materials,Sweet hay-like tonka (1g used for dilution)
Cypress Organic,Various,Farfalla,TBD,Green & Herbal,Cupressus Bio (1g used for dilution)
Datilat (Symrise),3ml,TPA,$7.00 ,Modern Aromachems,Modern synthetic specialty (1ml used for dilution)
Davana Oil,3g,Fraterworks,$23.01 ,Specialty Materials,Fruity herbaceous davana (1g used for dilution)
Dewfruit,3ml,TPA,$6.00 ,Gourmand Materials,Fresh dewfruit facet (1ml used for dilution)
Dorinia SA E,14g,Fraterworks,$22.42 ,Floral Materials,Premium floral specialty (1g used for dilution)
Elemi Oil,3g,Fraterworks,$8.26 ,Resins & Balsams,Fresh resinous citrus (1g used for dilution)
Elemol ex Elemi,3g,Fraterworks,$7.67 ,Wood Materials,Woody elemi facet (1g used for dilution)
Ethyl Maltol Crystals,29g,TPA,$9.50 ,Gourmand Materials,"Caramel whisper, cotton candy (1g used for dilution)"
Fauxmoss,4g,Fraterworks,$12.98 ,Moss & Earthy,IFRA-compliant oakmoss alternative (1g used for dilution)
"Fennel, Sweet - Organic",14ml,Eden Botanicals,$12.25 ,Green & Herbal,Sweet fennel organic (1ml used for dilution)
Fig Signature,4g,Fraterworks,$8.26 ,Signature Captives,Fig leaf & fruit specialty (1g used for dilution)
Floralozone¨,24.9g,Fraterworks,$13.87 ,Modern Aromachems,Floral ozone molecule (0.1g used for dilution)
Frankincense EO,15ml,Sun Pure Bot.,$15.00 ,Resins & Balsams,Essential oil (1ml used for dilution)
Frankincense Somalia,14ml,Eden Botanicals,$22.00 ,Resins & Balsams,"Sacred resin, spiritual depth (1ml used for dilution)"
Fruit Sec,4g,Fraterworks,$9.44 ,Gourmand Materials,Dried fruit specialty (1g used for dilution)
Galbanum CO2,14ml,Eden Botanicals,$24.25 ,Green & Herbal,Green Mediterranean intensity (1ml used for dilution)
Gamma Dodecalactone,14g,Fraterworks,$9.44 ,Gourmand Materials,Peach lactone sweetness (1g used for dilution)
Gamma Undecalactone,24g,Fraterworks,$12.69 ,Gourmand Materials,Peachy lactone facet (1g used for dilution)
Gardenia J. Ellis,4g,Fraterworks,$28.03 ,Floral Materials,Gardenia floral accord (1g used for dilution)
Geranium Bourbon Supreme,3g,Fraterworks,$16.52 ,Floral Materials,Rosy-green bridge material (1g used for dilution)
Ginger CO2 Extract,3ml,TPA,$12.00 ,Spices,Spicy CO2 concentration (1ml used for dilution)
Grojsman Plus,14g,Fraterworks,$16.52 ,Specialty Materials,Enhanced TrŽsor accord (1g used for dilution)
Guaiacol,4g,Fraterworks,$6.79 ,Wood Materials,"Smoky, medicinal facet (1g used for dilution)"
Gunsmoke - Key Accord,3ml,TPA,$6.50 ,Specialty Materials,Smoky gunpowder accord (1ml used for dilution)
Habanolide¨,24g,Fraterworks,$12.98 ,Modern Aromachems,Fruity musk molecule (1g used for dilution)
Hedione,99g,Fraterworks,$18.00 ,Modern Aromachems,Transparency & diffusion (1g used for dilution)
Helional¨,24g,Fraterworks,$8.26 ,Modern Aromachems,Aquatic marine molecule (1g used for dilution)
Honey Supreme,4g,Fraterworks,$15.93 ,Gourmand Materials,Premium honey accord (1g used for dilution)
Hops CO2,3ml,Eden Botanicals,$18.00 ,Green & Herbal,Beer-like green herbaceous (1ml used for dilution)
Iris - Key Accord,14ml,TPA,$15.00 ,Floral Materials,Powdery iris accord (1ml used for dilution)
Irival Oliffac,14g,Fraterworks,$16.52 ,Specialty Materials,Iris-violet specialty (1g used for dilution)
Iso E Super (IFF),49g,TPA,$17.00 ,Modern Aromachems,Woody transparency (1g used for dilution)
Juniper Berry EO,1oz,Premium Coll.,TBD,Wood Materials,"Arid desert air, gin-like (1g used for dilution)"
Kephalis,14g,Fraterworks,$9.44 ,Specialty Materials,Woody-amber molecule (1g used for dilution)
Labdanum Absolute Clear,14ml,Eden Botanicals,$21.00 ,Resins & Balsams,"Resinous warmth, amber depth (1ml used for dilution)"
Lavender - High Elevation,29ml,Eden Botanicals,$26.50 ,Floral Materials,High elevation lavender (1ml used for dilution)
Lemon Organic,14ml,Eden Botanicals,$8.50 ,Citrus Oils,"Sparkling lift, organic quality (1ml used for dilution)"
Lotus Storm,4g,Fraterworks,$11.80 ,Floral Materials,Lotus floral specialty (1g used for dilution)
Mandarin Green,14ml,Eden Botanicals,$10.25 ,Citrus Oils,"Golden warmth, Mediterranean sun (1ml used for dilution)"
Massoia Lactone (Natural),3.9ml,TPA,$10.25 ,Gourmand Materials,Coconut creamy lactone (0.1ml used for dilution)
Mountain Pine Organic,Various,Farfalla,TBD,Green & Herbal,Pinus mugo Bio (1g used for dilution)
Muscenone¨,4.9g,Fraterworks,$14.75 ,Modern Aromachems,Muscone recreation musk (0.1g used for dilution)
Myrrh Steam Distilled,Various,Sun Pure Bot.,TBD,Resins & Balsams,Essential oil (1ml used for dilution)
Nearly Deer CMP,0.9g,Fraterworks,$5.90 ,Tobacco & Animalic,Deer musk recreation (0.1g used for dilution)
Neroli Supreme,14g,Fraterworks,$34.22 ,Floral Materials,Premium neroli reconstruction (1g used for dilution)
Night Queen,24g,Fraterworks,$28.32 ,Signature Captives,Duchaufour signature (1g used for dilution)
Norlimbanol (Firmenich),3ml,TPA,$8.75 ,Modern Aromachems,"Sandalwood facet, creamy wood (1ml used for dilution)"
Nutmeg India,14ml,TPA,$14.75 ,Spices,Indian nutmeg essential oil (1ml used for dilution)
"Nutmeg Oil, Aceh",14g,Fraterworks,$18.88 ,Spices,Indonesian nutmeg richness (1g used for dilution)
Orange Blossom Supreme,4g,Fraterworks,$17.70 ,Floral Materials,Neroli floral accord (1g used for dilution)
Orris Givco¨ 204/20,49g,TPA,$34.50 ,Floral Materials,Premium orris butter accord (1g used for dilution)
Ortho tertiary-butyl cyclohexyl acetate,14ml,TPA,$11.00 ,Modern Aromachems,Fruity-floral enhancement (1ml used for dilution)
Osmanthus Flowers,4g,Fraterworks,$9.44 ,Floral Materials,Apricot-floral osmanthus (1g used for dilution)
Oud Synth 10760 E (Firmenich),3ml,TPA,$7.00 ,Specialty Materials,Synthetic oud recreation (1ml used for dilution)
Palo Santo - Key Accord,14ml,TPA,$15.00 ,Specialty Materials,Sacred wood accord (1ml used for dilution)
Patchouli Dark PA30,14g,Fraterworks,$18.59 ,Wood Materials,Dark earthy patchouli (1g used for dilution)
Petitgrain Bigarade Paraguay,14ml,Eden Botanicals,$14.00 ,Green & Herbal,Woody citrus sophistication (1ml used for dilution)
"Phenyl Ethyl Alcohol, Natural",14g,Fraterworks,$25.96 ,Floral Materials,Natural rose alcohol (1g used for dilution)
Pimento Berry Oil,3g,Fraterworks,$7.08 ,Spices,Allspice berry oil (1g used for dilution)
Pink Peppercorn CO2,3g,Fraterworks,$14.16 ,Spices,Pink pepper CO2 extraction (1g used for dilution)
Pomelo Grandis,24g,Fraterworks,$24.19 ,Citrus Oils,Grapefruit substitute (1g used for dilution)
Pretty Oud,4g,Fraterworks,$9.44 ,Specialty Materials,Refined oud reconstruction (1g used for dilution)
Rose Absolute EO NCA,14ml,NCA,TBD,Floral Materials,Rose absolute essential oil (1ml used for dilution)
Rose Imperiale,4g,Fraterworks,$17.70 ,Floral Materials,Imperial rose blend (1g used for dilution)
Safraleine¨,4g,Fraterworks,$7.67 ,Specialty Materials,Saffron accord molecule (1g used for dilution)
Sandal Cyclopropane (Javanol),14g,Fraterworks,$20.06 ,Wood Materials,Modern sandalwood molecule (1g used for dilution)
Sandalwood Imperial,24g,Fraterworks,$22.42 ,Wood Materials,Premium sandalwood base (1g used for dilution)
Sandalwood Oil - MYSORE 100%,49g,Indian Certified,$72.00 ,Wood Materials,Authentic 100% Mysore sandalwood (1g used for dilution)
Spicyrup,3g,Fraterworks,$15.34 ,Signature Captives,Spiced syrup gourmand (1g used for dilution)
Star Anise Oil,24g,Fraterworks,$15.34 ,Spices,Sweet licorice spice (1g used for dilution)
Stemone (Givaudan),14ml,TPA,$12.75 ,Modern Aromachems,Fig leaf lactonic (1ml used for dilution)
Suederal LT ¨ (IFF),14ml,TPA,$14.75 ,Specialty Materials,Suede leather facet (1ml used for dilution)
Suralette Extra,14g,Fraterworks,$30.09 ,Signature Captives,Premium signature molecule (1g used for dilution)
Timbersilk,49g,Fraterworks,$14.16 ,Wood Materials,Silky cedarwood facet (1g used for dilution)
Tobacarol (IFF),3ml,TPA,$7.75 ,Modern Aromachems,Tobacco leaf facet (1ml used for dilution)
Tobacco Signature Absolute,14g,Fraterworks,$75.52 ,Tobacco & Animalic,100% Pure tobacco absolute (1g used for dilution)
Tonka Bean - Key Accord,50g,TPA,$27.50 ,Gourmand Materials,Tonka bean accord
Triethyl Citrate (Natural),1ml,TPA,$3.00 ,Specialty Materials,Fixative support (1ml used for dilution)
Tropicalia,4g,Fraterworks,$9.44 ,Signature Captives,100% pure tropical blend (1g used for dilution)
Tuberose Supreme,4g,Fraterworks,$15.64 ,Floral Materials,Rich tuberose floral (1g used for dilution)
Vanellia,14g,Fraterworks,$14.75 ,Gourmand Materials,Enhanced vanilla molecule (1g used for dilution)
Vanilla Absolute,1oz,Premium Coll.,TBD,Gourmand Materials,Rich vanilla complexity (1g used for dilution)
Veramoss,24g,Fraterworks,$8.85 ,Moss & Earthy,Synthetic moss base (1g used for dilution)
Verdantol,14g,Fraterworks,$20.36 ,Signature Captives,Green signature molecule (1g used for dilution)
Verdox HC,24g,Fraterworks,$9.44 ,Green & Herbal,Green verdant molecule (1g used for dilution)
"Vetiver Oil, Java",3g,Fraterworks,$11.80 ,Wood Materials,Indonesian vetiver (1g used for dilution)
Wool Absolute,4g,Eden Botanicals,$14.00 ,Specialty Materials,Lanolin-like animalic (1g used for dilution)
Ylang Ylang EO,1oz,Premium Coll.,TBD,Floral Materials,Tropical floral richness (1g used for dilution)
Yuzu Distilled,4ml,Eden Botanicals,$21.00 ,Citrus Oils,Exotic citrus radiance (1ml used for dilution)
Z11 HD 8.5 MIP,4g,Fraterworks,$9.44 ,Modern Aromachems,High-diffusion woody musk (1g used for dilution)
